BEAM TYPE,LENGTH IN MM,WIDTH IN MM,DEPTH IN MM,REINFORCEMENT (%),LOAD IN KN,DEFLECTION IN MM
MULI,700,150,150,1.49,0,0
MULI,700,150,150,1.49,0.3,0.01
MULI,700,150,150,1.49,0.6,0.03
MULI,700,150,150,1.49,0.89,0.04
MULI,700,150,150,1.49,1.19,0.05
MULI,700,150,150,1.49,1.49,0.06
MULI,700,150,150,1.49,1.79,0.07
MULI,700,150,150,1.49,2.09,0.08
MULI,700,150,150,1.49,2.38,0.11
MULI,700,150,150,1.49,2.68,0.11
MULI,700,150,150,1.49,2.98,0.12
MULI,700,150,150,1.49,3.28,0.14
MULI,700,150,150,1.49,3.58,0.15
MULI,700,150,150,1.49,3.87,0.18
MULI,700,150,150,1.49,4.17,0.2
MULI,700,150,150,1.49,4.47,0.22
MULI,700,150,150,1.49,4.77,0.25
MULI,700,150,150,1.49,5.06,0.26
MULI,700,150,150,1.49,5.36,0.32
MULI,700,150,150,1.49,5.66,0.35
MULI,700,150,150,1.49,5.96,0.38
MULI,700,150,150,1.49,6.26,0.42
MULI,700,150,150,1.49,6.55,0.45
MULI,700,150,150,1.49,6.85,0.49
MULI,700,150,150,1.49,7.15,0.52
MULI,700,150,150,1.49,7.45,0.56
MULI,700,150,150,1.49,7.75,0.61
MULI,700,150,150,1.49,8.04,0.63
MULI,700,150,150,1.49,8.34,0.7
MULI,700,150,150,1.49,8.64,0.75
MULI,700,150,150,1.49,8.94,0.78
MULI,700,150,150,1.49,9.24,0.82
MULI,700,150,150,1.49,9.53,0.86
MULI,700,150,150,1.49,9.83,0.91
MULI,700,150,150,1.49,10.13,0.97
MULI,700,150,150,1.49,10.43,1
MULI,700,150,150,1.49,10.73,1.03
MULI,700,150,150,1.49,11.02,1.09
MULI,700,150,150,1.49,11.32,1.14
MULI,700,150,150,1.49,11.62,1.24
MULI,700,150,150,1.49,11.92,1.3
MULI,700,150,150,1.49,12.21,1.38
MULI,700,150,150,1.49,12.51,1.48
MULI,700,150,150,1.49,12.81,1.7
MULI,700,150,150,1.49,13.11,2.05
MESSY,700,150,150,1,19.09,4.57
MESSY,700,150,150,1,27.4,4.38
MESSY,700,150,150,1,23.19,4.48
MESSY,700,150,150,1,17.98,6.49
MANGA,700,150,150,1,19.09,4.57
MANGA,700,150,150,1,27.4,4.38
MANGA,700,150,150,1,23.19,4.48
MANGA,700,150,150,1,17.98,6.49
MANGA,700,150,150,4,32.08,1.303
MANGA,700,150,150,4,16,0.25
MANGA,700,150,150,4,21,0.5
MANGA,700,150,150,4,24,0.75
MANGA,700,150,150,4,29,1
MANGA,700,150,150,4,31.5,1.25
MANGA,700,150,150,4,32,1.3
MANGA,700,150,150,4,26,0.85
MANGA,700,150,150,4,21,0.5
MANGA,700,150,150,4,22,0.6
MANGA,700,150,150,4,30,1.1
MANGA,700,150,150,4,19.5,0.5
MANGA,700,150,150,4,26,1
MANGA,700,150,150,4,30.5,1.5
MANGA,700,150,150,4,32,2
MANGA,700,150,150,4,33,2.5
MANGA,700,150,150,4,34,3
MANGA,700,150,150,4,34.5,3.5
MANGA,700,150,150,4,35,4
MANGA,700,150,150,4,35.5,4.5
MANGA,700,150,150,4,23,0.8
MANGA,700,150,150,4,29,1.3
MANGA,700,150,150,4,31,1.7
MANGA,700,150,150,4,22,0.7
MANGA,700,150,150,4,20,0.6
MANGA,700,150,150,4,19,0.5
MANGA,700,150,150,4,28.5,1
MANGA,700,150,150,4,33,1.5
MANGA,700,150,150,4,35.5,2
MANGA,700,150,150,4,22.5,0.75
MANGA,700,150,150,4,30.5,1.25
MANGA,700,150,150,4,35,1.75
MANGA,700,150,150,4,34,3
MANGA,700,150,150,4,33.5,3.5
MANGA,700,150,150,4,33,4.5
MANGA,700,150,150,4,35.109,1.778
MESS,700,150,150,4,15.5,0.5
MESS,700,150,150,4,18.5,1
MESS,700,150,150,4,20,1.5
MESS,700,150,150,4,20.5,2
MESS,700,150,150,4,21.5,2.5
MESS,700,150,150,4,22,3
MESS,700,150,150,4,22.5,3.5
MESS,700,150,150,4,23,4.5
MESS,700,150,150,4,18,0.75
MESS,700,150,150,4,19.5,1.25
MESS,700,150,150,4,21,2.25
MESS,700,150,150,4,13.75,0.5
MESS,700,150,150,4,10.5,0.25
MESS,700,150,150,4,16,0.75
MESS,700,150,150,4,14,0.6
MESS,700,150,150,4,16.5,1
